/home/vr/Documents/self driving/IMG/center_2019_06_27_23_21_52_651.jpg,/home/vr/Documents/self driving/IMG/left_2019_06_27_23_21_52_651.jpg,/home/vr/Documents/self driving/IMG/right_2019_06_27_23_21_52_651.jpg,0,0,0,1.430104E-06
/home/vr/Documents/self driving/IMG/center_2019_06_27_23_21_52_734.jpg,/home/vr/Documents/self driving/IMG/left_2019_06_27_23_21_52_734.jpg,/home/vr/Documents/self driving/IMG/right_2019_06_27_23_21_52_734.jpg,0,0,0,8.626884E-06
/home/vr/Documents/self driving/IMG/center_2019_06_27_23_21_52_817.jpg,/home/vr/Documents/self driving/IMG/left_2019_06_27_23_21_52_817.jpg,/home/vr/Documents/self driving/IMG/right_2019_06_27_23_21_52_817.jpg,0,0,0,7.162936E-06
/home/vr/Documents/self driving/IMG/center_2019_06_27_23_21_52_900.jpg,/home/vr/Documents/self driving/IMG/left_2019_06_27_23_21_52_900.jpg,/home/vr/Documents/self driving/IMG/right_2019_06_27_23_21_52_900.jpg,0,0,0,1.281876E-05
/home/vr/Documents/self driving/IMG/center_2019_06_27_23_21_52_983.jpg,/home/vr/Documents/self driving/IMG/left_2019_06_27_23_21_52_983.jpg,/home/vr/Documents/self driving/IMG/right_2019_06_27_23_21_52_983.jpg,0,0,0,7.580909E-06
/home/vr/Documents/self driving/IMG/center_2019_06_27_23_21_53_066.jpg,/home/vr/Documents/self driving/IMG/left_2019_06_27_23_21_53_066.jpg,/home/vr/Documents/self driving/IMG/right_2019_06_27_23_21_53_066.jpg,0,0,0,1.357529E-05
/home/vr/Documents/self driving/IMG/center_2019_06_27_23_21_53_149.jpg,/home/vr/Documents/self driving/IMG/left_2019_06_27_23_21_53_149.jpg,/home/vr/Documents/self driving/IMG/right_2019_06_27_23_21_53_149.jpg,0,0,0,7.062609E-06
/home/vr/Documents/self driving/IMG/center_2019_06_27_23_21_53_232.jpg,/home/vr/Documents/self driving/IMG/left_2019_06_27_23_21_53_232.jpg,/home/vr/Documents/self driving/IMG/right_2019_06_27_23_21_53_232.jpg,0,0,0,2.665646E-06
/home/vr/Documents/self driving/IMG/center_2019_06_27_23_21_53_317.jpg,/home/vr/Documents/self driving/IMG/left_2019_06_27_23_21_53_317.jpg,/home/vr/Documents/self driving/IMG/right_2019_06_27_23_21_53_317.jpg,0,0,0,1.195347E-05
/home/vr/Documents/self driving/IMG/center_2019_06_27_23_21_53_400.jpg,/home/vr/Documents/self driving/IMG/left_2019_06_27_23_21_53_400.jpg,/home/vr/Documents/self driving/IMG/right_2019_06_27_23_21_53_400.jpg,0,0,0,6.895538E-06
/home/vr/Documents/self driving/IMG/center_2019_06_27_23_21_53_483.jpg,/home/vr/Documents/self driving/IMG/left_2019_06_27_23_21_53_483.jpg,/home/vr/Documents/self driving/IMG/right_2019_06_27_23_21_53_483.jpg,0,0,0,3.452063E-06
/home/vr/Documents/self driving/IMG/center_2019_06_27_23_21_53_567.jpg,/home/vr/Documents/self driving/IMG/left_2019_06_27_23_21_53_567.jpg,/home/vr/Documents/self driving/IMG/right_2019_06_27_23_21_53_567.jpg,0,0,0,2.844997E-06
